Brand,ABV,Calories
Natural Ice,5.9,130
King Cobra,6,134
Molson Canadian 67,3,67
Pig's Eye Lean Light,4.2,95
Sleeman Clear,4,90
Michelob Ultra,4.2,95
Natural Light,4.2,95
Natty Daddy,8,181
Hurricane (Original),6,136
Pig's Eye Ice Beer,5.9,134
Bud Light Platinum,6,137
Pigs Eye P.B. High Gravity Ice Malt Liquour,10.2,233
Miller Lite,4.2,96
Miller64,2.8,64
MGD 64 Lemonade,2.8,64
Bud Select 55,2.4,55
Labatt Sterling,4,92
Budweiser Select,4.3,99
Busch Light,4.1,95
NIXE Extra Dry,4.9,114
Hurricane Ice,7.5,175
Shiner Light Blonde,4.2,99
Michelob Ultra Amber,4,95
Michelob ULTRA Pomegranate Raspberry,4,95
Alcohol Inspired Refresher (AIR),4,95
Michelob ULTRA Lime Cactus,4,95
Michelob ULTRA Dragonfruit Peach,4,95
Miller Chill,4.2,100
Milwaukee's Best Light,4.1,98
Corona Light,4.1,99
Greens Tripel Blonde Ale,8.5,206
Coors Light,4.2,102
Milwaukee's Best Ice,5.9,144
Keystone Ice,5.9,145
Big Flats Light Beer,3.9,96
Bud Ice,5.5,136
Miller Icehouse Light,4.13,103
Keystone Premium,4.43,111
Duvel,8.5,213
Keystone Light,4.13,104
Chimay Triple,8,202
Leinenkugel's Light,4.2,109
Beck's Octoberfest,5.2,135
Bud Dry,5,130
Hurricane High Gravity,8.1,212
Bud Light,4.2,110
Miller Genuine Draft Light,4.2,110
Schlitz Light,4.2,110
Kronenbourg 1664,5.5,146
Busch,4.3,114
Chimay Rouge,7,186
Steel Six,6,160
Miller High Life Light,4.1,110
Olde English 800 7.5,7.5,202
Grolsch Light Lager,3.6,97
Miller Fortune,6.9,186
Pabst Blue Ribbon Light,4.19,113
Labatt Blue,5,135
Labatt Blue Light,4,108
Belle-Vue Selection Lambic,6,162
Becks Sapphire,6,162
Mickey's Ice,5.8,157
Icehouse,5.5,149
Olde English 800,5.9,160
Amstel Light,3.5,95
Tyskie,5.6,153
Steel Reserve High Gravity,8.1,222
Olde English High Gravity 800,8,220
AleSmith Speedway Stout,12,330
Budweiser Black Crown,6,165
Becks Pilsner,5,138
Bud Light Lime,4.2,116
Carling Chrome,4.8,133
Coronado Golden - Coronado Brewing Co.,5.4,150
Beck's Premier Light,2.3,64
Strongbow Cider (USA variant),5,140
Magnum Malt Liquor,5.6,157
Mickey's Fine Malt Liquor,5.6,157
Cascade Lager,4.8,135
AleSmith Old Numbskull,11,310
Colt 45 Malt Liquor,6.1,172
Hamm's Special Light,3.9,110
Tequiza,4.5,127
Heineken Light,3.5,99
Yuengling Light Lager,3.5,99
Trippel Belgian Style Ale,7.8,221
Coronado Idiot IPA,8.5,241
Beck's Dark,5,142
James Boags Premium,5,142
Smithwicks Draught,4.5,128
Swan Draught,4.5,128
Boags Draught,4.6,131
XXXX Bitter,4.6,131
Sapporo Premium,4.9,140
AleSmith X,5.25,150
Kona Wailua Wheat Ale,5.4,155
Alaskan IPA,6.2,178
Beez Neez (Matilda Bay),4.7,135
Boags XXX Ale,4.8,138
Bud Light Golden Wheat,4.1,118
Krombacher Pils,4.8,138
Alaskan Pale,5.2,150
Krombacher Dark,4.3,124
Red Hook IPA,6.5,188
Guinness Generous Ale,5.6,162
AleSmith IPA,7.25,210
Valima Lager,4.9,142
Crown Lager,4.9,142
Busch Ice,5.9,171
Budweiser,5,145
Foster's,5,145
Molson XXX,7.3,201
Fosters Premium Ale,5.5,160
West End Draught,4.5,131
Guinness Black Lager,4.5,131
Abbots Lager,4.5,131
Leffe Tripel,8.5,248
Hahn Premium,5,146
Steinlager Classic,5,146
Coronado Brewing Orange Ave Wit,5.2,152
Carling,4,117
Tennents Lager,4,117
Rolling Rock Extra Pale,4.5,132
Tooheys New,4.6,135
Victoria Bitter,4.6,135
Ballarat Bitter,4.6,135
Grolsch Premium Lager,5,147
Peroni Nastro Azzurro,5.1,150
Stella Artois,5.2,153
Alexander Keiths Pale Ale,5.4,159
Newcastle Brown Ale,4.7,138
Carlsberg Elephant,7.2,213
Molson Canadian,5,148
