name,sex,body,heart
Luna,F,2,7
Bella,F,2,7.4
Chloe,F,2,9.5
Nala,F,2.1,7.2
Ginger,F,2.1,7.3
Cleo,F,2.1,7.6
Mittens,F,2.1,8.1
Lucy,F,2.1,8.2
Daisy,F,2.1,8.3
Zoe,F,2.1,8.5
Sassy,F,2.1,8.7
Missy,F,2.1,9.8
Kitty,F,2.2,7.1
Angel,F,2.2,8.7
Princess,F,2.2,9.1
Gracie,F,2.2,9.7
Ruby,F,2.2,10.9
Lily,F,2.2,11
Willow,F,2.3,7.3
Maple,F,2.3,7.9
Autumn,F,2.3,8.4
Jasmine,F,2.3,9
Rosie,F,2.3,9
Poppy,F,2.3,9.5
Buttercup,F,2.3,9.6
Marigold,F,2.3,9.7
Clover,F,2.3,10.1
Sage,F,2.3,10.1
Honey,F,2.3,10.6
Marshmallow,F,2.3,11.2
Cupcake,F,2.4,6.3
Olive,F,2.4,8.7
Freckles,F,2.4,8.8
Star,F,2.4,10.2
Nova,F,2.5,9
Pearl,F,2.5,10.9
Ivory,F,2.6,8.7
Ebony,F,2.6,10.1
Coco,F,2.6,10.1
Cocoa,F,2.7,8.5
Sophia,F,2.7,10.2
Isabella,F,2.7,10.8
Daphne,F,2.9,9.9
Penny,F,2.9,10.1
Millie,F,2.9,10.1
Winnie,F,3,10.6
Princess Donut,F,3,13
Whiskers,M,2,6.5
Shadow,M,2,6.5
Max,M,2.1,10.1
Simba,M,2.2,7.2
Tiger,M,2.2,7.6
Smokey,M,2.2,7.9
Oliver,M,2.2,8.5
Milo,M,2.2,9.1
Loki,M,2.2,9.6
Leo,M,2.2,9.6
Jasper,M,2.2,10.7
Felix,M,2.3,9.6
Oreo,M,2.4,7.3
Tom,M,2.4,7.9
Charlie,M,2.4,7.9
Pumpkin,M,2.4,9.1
Gizmo,M,2.4,9.3
Boots,M,2.5,7.9
Patches,M,2.5,8.6
Muffin,M,2.5,8.8
Peanut,M,2.5,8.8
Biscuit,M,2.5,9.3
Pepper,M,2.5,11
Rocky,M,2.5,12.7
Ziggy,M,2.5,12.7
Sammy,M,2.6,7.7
Jack,M,2.6,8.3
Domino,M,2.6,9.4
Checkers,M,2.6,9.4
Patch,M,2.6,10.5
Speckle,M,2.6,11.5
Spot,M,2.7,8
Stripe,M,2.7,9
Tabby,M,2.7,9.6
Marble,M,2.7,9.6
Comet,M,2.7,9.8
Orion,M,2.7,10.4
Cosmo,M,2.7,11.1
Nebula,M,2.7,12
Pluto,M,2.7,12.5
Neptune,M,2.8,9.1
Mars,M,2.8,10
Apollo,M,2.8,10.2
Zeus,M,2.8,11.4
Hercules,M,2.8,12
Atlas,M,2.8,13.3
Titan,M,2.8,13.5
Gravy Boat,M,2.9,9.4
Odin,M,2.9,10.1
Thor,M,2.9,10.6
Merlin,M,2.9,11.3
Gandalf,M,2.9,11.8
Frodo,M,3,10
Legolas,M,3,10.4
Aragorn,M,3,10.6
Sherlock,M,3,11.6
Watson,M,3,12.2
Poirot,M,3,12.4
Bond,M,3,12.7
Vader,M,3,13.3
Yoda,M,3,13.8
Chewie,M,3.1,9.9
Finn,M,3.1,11.5
Groot,M,3.1,12.1
Rocket,M,3.1,12.5
Bolt,M,3.1,13
Flash,M,3.1,14.3
Dash,M,3.2,11.6
Turbo,M,3.2,11.9
Blaze,M,3.2,12.3
Ember,M,3.2,13
Sparky,M,3.2,13.5
Flicker,M,3.2,13.6
Cinder,M,3.3,11.5
Phoenix,M,3.3,12
Griffin,M,3.3,14.1
Dragon,M,3.3,14.9
Wizard,M,3.3,15.4
Sorcerer,M,3.4,11.2
Panther,M,3.4,12.2
Cougar,M,3.4,12.4
Lynx,M,3.4,12.8
Bandit,M,3.4,14.4
Rascal,M,3.5,11.7
Nibbles,M,3.5,12.9
Pounce,M,3.5,15.6
Fuzzball,M,3.5,15.7
Buster,M,3.5,17.2
Duke,M,3.6,11.8
Winston,M,3.6,13.3
Louie,M,3.6,14.8
Oscar,M,3.6,15
Gus,M,3.7,11
Buddy,M,3.8,14.8
Rusty,M,3.8,16.8
Diesel,M,3.9,14.4
Ranger,M,3.9,20.5
